month,total.total
2001-11-01T00:00:00.000Z,1
2002-07-01T00:00:00.000Z,1
2002-08-01T00:00:00.000Z,1
2002-09-01T00:00:00.000Z,2
2002-10-01T00:00:00.000Z,1
2002-11-01T00:00:00.000Z,2
2003-10-01T00:00:00.000Z,1
2005-04-01T00:00:00.000Z,1
2005-07-01T00:00:00.000Z,1
2005-09-01T00:00:00.000Z,1199
2005-10-01T00:00:00.000Z,1784
2005-11-01T00:00:00.000Z,2158
2005-12-01T00:00:00.000Z,2966
2006-01-01T00:00:00.000Z,4014
2006-02-01T00:00:00.000Z,4940
2006-03-01T00:00:00.000Z,6468
2006-04-01T00:00:00.000Z,5123
2006-05-01T00:00:00.000Z,6209
2006-06-01T00:00:00.000Z,4648
2006-07-01T00:00:00.000Z,3392
2006-08-01T00:00:00.000Z,3570
2006-09-01T00:00:00.000Z,5060
2006-10-01T00:00:00.000Z,6401
2006-11-01T00:00:00.000Z,6861
2006-12-01T00:00:00.000Z,5712
2007-01-01T00:00:00.000Z,7099
2007-02-01T00:00:00.000Z,6312
2007-03-01T00:00:00.000Z,5844
2007-04-01T00:00:00.000Z,6411
2007-05-01T00:00:00.000Z,7665
2007-06-01T00:00:00.000Z,5452
2007-07-01T00:00:00.000Z,4428
2007-08-01T00:00:00.000Z,4407
2007-09-01T00:00:00.000Z,5803
2007-10-01T00:00:00.000Z,6571
2007-11-01T00:00:00.000Z,6181
2007-12-01T00:00:00.000Z,5520
2008-01-01T00:00:00.000Z,7144
2008-02-01T00:00:00.000Z,6633
2008-03-01T00:00:00.000Z,6532
2008-04-01T00:00:00.000Z,6401
2008-05-01T00:00:00.000Z,6282
2008-06-01T00:00:00.000Z,4982
2008-07-01T00:00:00.000Z,3965
2008-08-01T00:00:00.000Z,3597
2008-09-01T00:00:00.000Z,4572
2008-10-01T00:00:00.000Z,4724
2008-11-01T00:00:00.000Z,5138
2008-12-01T00:00:00.000Z,4333
2009-01-01T00:00:00.000Z,5942
2009-02-01T00:00:00.000Z,4843
2009-03-01T00:00:00.000Z,5372
2009-04-01T00:00:00.000Z,4387
2009-05-01T00:00:00.000Z,4774
2009-06-01T00:00:00.000Z,3975
2009-07-01T00:00:00.000Z,3479
2009-08-01T00:00:00.000Z,3548
2009-09-01T00:00:00.000Z,4319
2009-10-01T00:00:00.000Z,5282
2009-11-01T00:00:00.000Z,5259
2009-12-01T00:00:00.000Z,4361
2010-01-01T00:00:00.000Z,5598
2010-02-01T00:00:00.000Z,4801
2010-03-01T00:00:00.000Z,4572
2010-04-01T00:00:00.000Z,4673
2010-05-01T00:00:00.000Z,4658
2010-06-01T00:00:00.000Z,3589
2010-07-01T00:00:00.000Z,2715
2010-08-01T00:00:00.000Z,2692
2010-09-01T00:00:00.000Z,2934
2010-10-01T00:00:00.000Z,2855
2010-11-01T00:00:00.000Z,2879
2010-12-01T00:00:00.000Z,2575
2011-01-01T00:00:00.000Z,3432
2011-02-01T00:00:00.000Z,3122
2011-03-01T00:00:00.000Z,2960
2011-04-01T00:00:00.000Z,2340
2011-05-01T00:00:00.000Z,2550
2011-06-01T00:00:00.000Z,2180
2011-07-01T00:00:00.000Z,2237
2011-08-01T00:00:00.000Z,2042
2011-09-01T00:00:00.000Z,2020
2011-10-01T00:00:00.000Z,2374
2011-11-01T00:00:00.000Z,2268
2011-12-01T00:00:00.000Z,2175
2012-01-01T00:00:00.000Z,2723
2012-02-01T00:00:00.000Z,2379
2012-03-01T00:00:00.000Z,2247
2012-04-01T00:00:00.000Z,1933
2012-05-01T00:00:00.000Z,2233
2012-06-01T00:00:00.000Z,2183
2012-07-01T00:00:00.000Z,2047
2012-08-01T00:00:00.000Z,1960
2012-09-01T00:00:00.000Z,2093
2012-10-01T00:00:00.000Z,2243
2012-11-01T00:00:00.000Z,2487
2012-12-01T00:00:00.000Z,2017
2013-01-01T00:00:00.000Z,2587
2013-02-01T00:00:00.000Z,2364
2013-03-01T00:00:00.000Z,2611
2013-04-01T00:00:00.000Z,2375
2013-05-01T00:00:00.000Z,2315
2013-06-01T00:00:00.000Z,2182
2013-07-01T00:00:00.000Z,1913
2013-08-01T00:00:00.000Z,2119
2013-09-01T00:00:00.000Z,2517
2013-10-01T00:00:00.000Z,2681
2013-11-01T00:00:00.000Z,2854
2013-12-01T00:00:00.000Z,2549
2014-01-01T00:00:00.000Z,2910
2014-02-01T00:00:00.000Z,2448
2014-03-01T00:00:00.000Z,2530
2014-04-01T00:00:00.000Z,2411
2014-05-01T00:00:00.000Z,2624
2014-06-01T00:00:00.000Z,2114
2014-07-01T00:00:00.000Z,2228
2014-08-01T00:00:00.000Z,3649
2014-09-01T00:00:00.000Z,4307
2014-10-01T00:00:00.000Z,3516
2014-11-01T00:00:00.000Z,3329
2014-12-01T00:00:00.000Z,3063
2015-01-01T00:00:00.000Z,3944
2015-02-01T00:00:00.000Z,3069
2015-03-01T00:00:00.000Z,3208
2015-04-01T00:00:00.000Z,3897
2015-05-01T00:00:00.000Z,2969
2015-06-01T00:00:00.000Z,2630
2015-07-01T00:00:00.000Z,2047
2015-08-01T00:00:00.000Z,2021
2015-09-01T00:00:00.000Z,1901
2015-10-01T00:00:00.000Z,2271
2015-11-01T00:00:00.000Z,2298
2015-12-01T00:00:00.000Z,2484
2016-01-01T00:00:00.000Z,3027
2016-02-01T00:00:00.000Z,2750
2016-03-01T00:00:00.000Z,2873
2016-04-01T00:00:00.000Z,2352
2016-05-01T00:00:00.000Z,2291
2016-06-01T00:00:00.000Z,1820
2016-07-01T00:00:00.000Z,1619
2016-08-01T00:00:00.000Z,1661
