month,total.total
2001-09-01T00:00:00.000Z,1
2001-10-01T00:00:00.000Z,3
2001-11-01T00:00:00.000Z,7
2001-12-01T00:00:00.000Z,9
2002-01-01T00:00:00.000Z,11
2002-02-01T00:00:00.000Z,11
2002-03-01T00:00:00.000Z,12
2002-04-01T00:00:00.000Z,14
2002-05-01T00:00:00.000Z,9
2002-06-01T00:00:00.000Z,12
2002-07-01T00:00:00.000Z,15
2002-08-01T00:00:00.000Z,18
2002-09-01T00:00:00.000Z,22
2002-10-01T00:00:00.000Z,25
2002-11-01T00:00:00.000Z,32
2002-12-01T00:00:00.000Z,33
2003-01-01T00:00:00.000Z,33
2003-02-01T00:00:00.000Z,32
2003-03-01T00:00:00.000Z,44
2003-04-01T00:00:00.000Z,45
2003-05-01T00:00:00.000Z,55
2003-06-01T00:00:00.000Z,49
2003-07-01T00:00:00.000Z,52
2003-08-01T00:00:00.000Z,50
2003-09-01T00:00:00.000Z,53
2003-10-01T00:00:00.000Z,50
2003-11-01T00:00:00.000Z,64
2003-12-01T00:00:00.000Z,79
2004-01-01T00:00:00.000Z,91
2004-02-01T00:00:00.000Z,117
2004-03-01T00:00:00.000Z,133
2004-04-01T00:00:00.000Z,131
2004-05-01T00:00:00.000Z,153
2004-06-01T00:00:00.000Z,187
2004-07-01T00:00:00.000Z,175
2004-08-01T00:00:00.000Z,188
2004-09-01T00:00:00.000Z,265
2004-10-01T00:00:00.000Z,288
2004-11-01T00:00:00.000Z,312
2004-12-01T00:00:00.000Z,311
2005-01-01T00:00:00.000Z,428
2005-02-01T00:00:00.000Z,411
2005-03-01T00:00:00.000Z,403
2005-04-01T00:00:00.000Z,525
2005-05-01T00:00:00.000Z,559
2005-06-01T00:00:00.000Z,698
2005-07-01T00:00:00.000Z,635
2005-08-01T00:00:00.000Z,714
2005-09-01T00:00:00.000Z,697
2005-10-01T00:00:00.000Z,705
2005-11-01T00:00:00.000Z,685
2005-12-01T00:00:00.000Z,892
2006-01-01T00:00:00.000Z,1161
2006-02-01T00:00:00.000Z,1208
2006-03-01T00:00:00.000Z,1363
2006-04-01T00:00:00.000Z,1286
2006-05-01T00:00:00.000Z,1493
2006-06-01T00:00:00.000Z,1490
2006-07-01T00:00:00.000Z,1522
2006-08-01T00:00:00.000Z,1603
2006-09-01T00:00:00.000Z,1635
2006-10-01T00:00:00.000Z,1612
2006-11-01T00:00:00.000Z,1763
2006-12-01T00:00:00.000Z,1956
2007-01-01T00:00:00.000Z,2251
2007-02-01T00:00:00.000Z,2154
2007-03-01T00:00:00.000Z,2046
2007-04-01T00:00:00.000Z,2120
2007-05-01T00:00:00.000Z,2416
2007-06-01T00:00:00.000Z,2304
2007-07-01T00:00:00.000Z,2220
2007-08-01T00:00:00.000Z,2246
2007-09-01T00:00:00.000Z,2177
2007-10-01T00:00:00.000Z,2068
2007-11-01T00:00:00.000Z,2111
2007-12-01T00:00:00.000Z,2113
2008-01-01T00:00:00.000Z,2264
2008-02-01T00:00:00.000Z,2285
2008-03-01T00:00:00.000Z,2305
2008-04-01T00:00:00.000Z,2215
2008-05-01T00:00:00.000Z,2373
2008-06-01T00:00:00.000Z,2390
2008-07-01T00:00:00.000Z,2275
2008-08-01T00:00:00.000Z,2296
2008-09-01T00:00:00.000Z,2133
2008-10-01T00:00:00.000Z,2075
2008-11-01T00:00:00.000Z,2209
2008-12-01T00:00:00.000Z,2180
2009-01-01T00:00:00.000Z,2566
2009-02-01T00:00:00.000Z,2289
2009-03-01T00:00:00.000Z,2272
2009-04-01T00:00:00.000Z,2123
2009-05-01T00:00:00.000Z,2194
2009-06-01T00:00:00.000Z,2209
2009-07-01T00:00:00.000Z,2208
2009-08-01T00:00:00.000Z,2221
2009-09-01T00:00:00.000Z,2123
2009-10-01T00:00:00.000Z,2062
2009-11-01T00:00:00.000Z,2118
2009-12-01T00:00:00.000Z,2058
2010-01-01T00:00:00.000Z,2243
2010-02-01T00:00:00.000Z,2072
2010-03-01T00:00:00.000Z,2108
2010-04-01T00:00:00.000Z,2135
2010-05-01T00:00:00.000Z,2042
2010-06-01T00:00:00.000Z,1960
2010-07-01T00:00:00.000Z,1875
2010-08-01T00:00:00.000Z,1926
2010-09-01T00:00:00.000Z,1792
2010-10-01T00:00:00.000Z,1792
2010-11-01T00:00:00.000Z,1792
2010-12-01T00:00:00.000Z,1841
2011-01-01T00:00:00.000Z,2061
2011-02-01T00:00:00.000Z,1987
2011-03-01T00:00:00.000Z,1871
2011-04-01T00:00:00.000Z,1803
2011-05-01T00:00:00.000Z,1806
2011-06-01T00:00:00.000Z,1817
2011-07-01T00:00:00.000Z,1865
2011-08-01T00:00:00.000Z,1805
2011-09-01T00:00:00.000Z,1661
2011-10-01T00:00:00.000Z,1773
2011-11-01T00:00:00.000Z,1702
2011-12-01T00:00:00.000Z,1803
2012-01-01T00:00:00.000Z,1979
2012-02-01T00:00:00.000Z,1806
2012-03-01T00:00:00.000Z,1771
2012-04-01T00:00:00.000Z,1723
2012-05-01T00:00:00.000Z,1872
2012-06-01T00:00:00.000Z,1813
2012-07-01T00:00:00.000Z,1849
2012-08-01T00:00:00.000Z,1819
2012-09-01T00:00:00.000Z,1703
2012-10-01T00:00:00.000Z,1672
2012-11-01T00:00:00.000Z,1717
2012-12-01T00:00:00.000Z,1689
2013-01-01T00:00:00.000Z,1869
2013-02-01T00:00:00.000Z,1763
2013-03-01T00:00:00.000Z,1819
2013-04-01T00:00:00.000Z,1676
2013-05-01T00:00:00.000Z,1709
2013-06-01T00:00:00.000Z,1646
2013-07-01T00:00:00.000Z,1539
2013-08-01T00:00:00.000Z,1569
2013-09-01T00:00:00.000Z,1566
2013-10-01T00:00:00.000Z,1477
2013-11-01T00:00:00.000Z,1522
2013-12-01T00:00:00.000Z,1556
2014-01-01T00:00:00.000Z,1670
2014-02-01T00:00:00.000Z,1557
2014-03-01T00:00:00.000Z,1506
2014-04-01T00:00:00.000Z,1432
2014-05-01T00:00:00.000Z,1493
2014-06-01T00:00:00.000Z,1405
2014-07-01T00:00:00.000Z,1411
2014-08-01T00:00:00.000Z,1431
2014-09-01T00:00:00.000Z,1380
2014-10-01T00:00:00.000Z,1353
2014-11-01T00:00:00.000Z,1389
2014-12-01T00:00:00.000Z,1427
2015-01-01T00:00:00.000Z,1590
2015-02-01T00:00:00.000Z,1473
2015-03-01T00:00:00.000Z,1444
2015-04-01T00:00:00.000Z,1455
2015-05-01T00:00:00.000Z,1381
2015-06-01T00:00:00.000Z,1397
2015-07-01T00:00:00.000Z,1438
2015-08-01T00:00:00.000Z,1437
2015-09-01T00:00:00.000Z,1294
2015-10-01T00:00:00.000Z,1375
2015-11-01T00:00:00.000Z,1448
2015-12-01T00:00:00.000Z,1434
2016-01-01T00:00:00.000Z,1621
2016-02-01T00:00:00.000Z,1465
2016-03-01T00:00:00.000Z,1432
2016-04-01T00:00:00.000Z,1330
2016-05-01T00:00:00.000Z,1444
2016-06-01T00:00:00.000Z,1372
2016-07-01T00:00:00.000Z,1406
2016-08-01T00:00:00.000Z,1407
2016-09-01T00:00:00.000Z,1349
2016-10-01T00:00:00.000Z,1332
2016-11-01T00:00:00.000Z,1356
2016-12-01T00:00:00.000Z,1383
2017-01-01T00:00:00.000Z,1567
2017-02-01T00:00:00.000Z,1496
2017-03-01T00:00:00.000Z,1538
2017-04-01T00:00:00.000Z,1465
2017-05-01T00:00:00.000Z,1471
2017-06-01T00:00:00.000Z,1416
2017-07-01T00:00:00.000Z,1396
2017-08-01T00:00:00.000Z,1405
2017-09-01T00:00:00.000Z,1328
2017-10-01T00:00:00.000Z,1397
2017-11-01T00:00:00.000Z,1420
2017-12-01T00:00:00.000Z,1461
2018-01-01T00:00:00.000Z,1643
2018-02-01T00:00:00.000Z,1469
2018-03-01T00:00:00.000Z,1499
2018-04-01T00:00:00.000Z,1418
2018-05-01T00:00:00.000Z,1473
2018-06-01T00:00:00.000Z,1382
2018-07-01T00:00:00.000Z,1400
2018-08-01T00:00:00.000Z,1422
2018-09-01T00:00:00.000Z,1346
2018-10-01T00:00:00.000Z,1407
2018-11-01T00:00:00.000Z,1514
2018-12-01T00:00:00.000Z,1499
2019-01-01T00:00:00.000Z,1715
2019-02-01T00:00:00.000Z,1517
2019-03-01T00:00:00.000Z,1567
2019-04-01T00:00:00.000Z,1425
2019-05-01T00:00:00.000Z,1456
2019-06-01T00:00:00.000Z,1378
2019-07-01T00:00:00.000Z,1390
2019-08-01T00:00:00.000Z,1354
2019-09-01T00:00:00.000Z,1350
2019-10-01T00:00:00.000Z,1433
2019-11-01T00:00:00.000Z,1493
2019-12-01T00:00:00.000Z,1416
2020-01-01T00:00:00.000Z,1653
2020-02-01T00:00:00.000Z,1535
2020-03-01T00:00:00.000Z,1663
2020-04-01T00:00:00.000Z,1611
2020-05-01T00:00:00.000Z,1715
2020-06-01T00:00:00.000Z,1521
2020-07-01T00:00:00.000Z,1417
2020-08-01T00:00:00.000Z,1430
2020-09-01T00:00:00.000Z,1384
2020-10-01T00:00:00.000Z,1446
2020-11-01T00:00:00.000Z,1600
2020-12-01T00:00:00.000Z,1615
2021-01-01T00:00:00.000Z,1867
2021-02-01T00:00:00.000Z,1698
2021-03-01T00:00:00.000Z,1619
2021-04-01T00:00:00.000Z,1538
2021-05-01T00:00:00.000Z,1618
2021-06-01T00:00:00.000Z,1432
2021-07-01T00:00:00.000Z,1427
2021-08-01T00:00:00.000Z,1435
2021-09-01T00:00:00.000Z,1365
2021-10-01T00:00:00.000Z,1526
2021-11-01T00:00:00.000Z,1461
2021-12-01T00:00:00.000Z,1425
2022-01-01T00:00:00.000Z,1660
2022-02-01T00:00:00.000Z,1545
2022-03-01T00:00:00.000Z,1412
2022-04-01T00:00:00.000Z,1443
2022-05-01T00:00:00.000Z,1494
2022-06-01T00:00:00.000Z,1465
2022-07-01T00:00:00.000Z,1416
2022-08-01T00:00:00.000Z,1474
2022-09-01T00:00:00.000Z,1386
2022-10-01T00:00:00.000Z,1452
2022-11-01T00:00:00.000Z,1402
2022-12-01T00:00:00.000Z,1456
2023-01-01T00:00:00.000Z,1667
2023-02-01T00:00:00.000Z,1515
2023-03-01T00:00:00.000Z,1501
2023-04-01T00:00:00.000Z,1429
2023-05-01T00:00:00.000Z,1457
2023-06-01T00:00:00.000Z,1463
2023-07-01T00:00:00.000Z,1444
2023-08-01T00:00:00.000Z,1526
2023-09-01T00:00:00.000Z,1456
2023-10-01T00:00:00.000Z,1439
2023-11-01T00:00:00.000Z,1490
2023-12-01T00:00:00.000Z,1492
2024-01-01T00:00:00.000Z,1742
2024-02-01T00:00:00.000Z,1567
2024-03-01T00:00:00.000Z,1535
2024-04-01T00:00:00.000Z,1437
2024-05-01T00:00:00.000Z,1503
2024-06-01T00:00:00.000Z,1471
2024-07-01T00:00:00.000Z,1475
2024-08-01T00:00:00.000Z,1434
2024-09-01T00:00:00.000Z,1402
2024-10-01T00:00:00.000Z,1395
