month,editor_type,total.content,total.non-content
2001--0-9-T00:00:00.000Z,anonymous,1,5
2001--0-9-T00:00:00.000Z,user,,6
2001--0-9-T00:00:00.000Z,group-bot,,
2001--0-9-T00:00:00.000Z,name-bot,,
2001--1-0-T00:00:00.000Z,anonymous,64,20
2001--1-0-T00:00:00.000Z,user,36,3
2001--1-0-T00:00:00.000Z,group-bot,,
2001--1-0-T00:00:00.000Z,name-bot,,
2001--1-1-T00:00:00.000Z,anonymous,62,13
2001--1-1-T00:00:00.000Z,user,318,35
2001--1-1-T00:00:00.000Z,group-bot,,
2001--1-1-T00:00:00.000Z,name-bot,,
2001--1-2-T00:00:00.000Z,anonymous,32,2
2001--1-2-T00:00:00.000Z,user,178,13
2001--1-2-T00:00:00.000Z,group-bot,,
2001--1-2-T00:00:00.000Z,name-bot,,
2002--0-1-T00:00:00.000Z,anonymous,192,23
2002--0-1-T00:00:00.000Z,user,342,33
2002--0-1-T00:00:00.000Z,group-bot,,
2002--0-1-T00:00:00.000Z,name-bot,,
2002--0-2-T00:00:00.000Z,anonymous,81,5
2002--0-2-T00:00:00.000Z,user,482,22
2002--0-2-T00:00:00.000Z,group-bot,,
2002--0-2-T00:00:00.000Z,name-bot,,
2002--0-3-T00:00:00.000Z,anonymous,134,4
2002--0-3-T00:00:00.000Z,user,654,26
2002--0-3-T00:00:00.000Z,group-bot,,
2002--0-3-T00:00:00.000Z,name-bot,,
2002--0-4-T00:00:00.000Z,anonymous,166,1
2002--0-4-T00:00:00.000Z,user,571,16
2002--0-4-T00:00:00.000Z,group-bot,,
2002--0-4-T00:00:00.000Z,name-bot,,
2002--0-5-T00:00:00.000Z,anonymous,136,2
2002--0-5-T00:00:00.000Z,user,1004,7
2002--0-5-T00:00:00.000Z,group-bot,,
2002--0-5-T00:00:00.000Z,name-bot,,
2002--0-6-T00:00:00.000Z,anonymous,206,17
2002--0-6-T00:00:00.000Z,user,675,64
2002--0-6-T00:00:00.000Z,group-bot,,
2002--0-6-T00:00:00.000Z,name-bot,,
2002--0-7-T00:00:00.000Z,anonymous,323,23
2002--0-7-T00:00:00.000Z,user,1565,107
2002--0-7-T00:00:00.000Z,group-bot,,
2002--0-7-T00:00:00.000Z,name-bot,,
2002--0-8-T00:00:00.000Z,anonymous,339,12
2002--0-8-T00:00:00.000Z,user,1255,90
2002--0-8-T00:00:00.000Z,group-bot,,
2002--0-8-T00:00:00.000Z,name-bot,,
2002--0-9-T00:00:00.000Z,anonymous,896,25
2002--0-9-T00:00:00.000Z,user,2382,103
2002--0-9-T00:00:00.000Z,group-bot,,
2002--0-9-T00:00:00.000Z,name-bot,,
2002--1-0-T00:00:00.000Z,anonymous,732,43
2002--1-0-T00:00:00.000Z,user,1822,123
2002--1-0-T00:00:00.000Z,group-bot,,
2002--1-0-T00:00:00.000Z,name-bot,,
2002--1-1-T00:00:00.000Z,anonymous,7548,391
2002--1-1-T00:00:00.000Z,user,1651,557
2002--1-1-T00:00:00.000Z,group-bot,,
2002--1-1-T00:00:00.000Z,name-bot,,
2002--1-2-T00:00:00.000Z,anonymous,634,22
2002--1-2-T00:00:00.000Z,user,3116,458
2002--1-2-T00:00:00.000Z,group-bot,,
2002--1-2-T00:00:00.000Z,name-bot,,
2003--0-1-T00:00:00.000Z,anonymous,585,25
2003--0-1-T00:00:00.000Z,user,3933,547
2003--0-1-T00:00:00.000Z,group-bot,,
2003--0-1-T00:00:00.000Z,name-bot,,
2003--0-2-T00:00:00.000Z,anonymous,939,23
2003--0-2-T00:00:00.000Z,user,4671,598
2003--0-2-T00:00:00.000Z,group-bot,,
2003--0-2-T00:00:00.000Z,name-bot,,
2003--0-3-T00:00:00.000Z,anonymous,2215,18
2003--0-3-T00:00:00.000Z,user,6681,800
2003--0-3-T00:00:00.000Z,group-bot,,
2003--0-3-T00:00:00.000Z,name-bot,,
2003--0-4-T00:00:00.000Z,anonymous,624,34
2003--0-4-T00:00:00.000Z,user,5868,574
2003--0-4-T00:00:00.000Z,group-bot,,
2003--0-4-T00:00:00.000Z,name-bot,,
2003--0-5-T00:00:00.000Z,anonymous,780,49
2003--0-5-T00:00:00.000Z,user,4295,691
2003--0-5-T00:00:00.000Z,group-bot,,
2003--0-5-T00:00:00.000Z,name-bot,,
2003--0-6-T00:00:00.000Z,anonymous,725,25
2003--0-6-T00:00:00.000Z,user,4218,679
2003--0-6-T00:00:00.000Z,group-bot,,
2003--0-6-T00:00:00.000Z,name-bot,,
2003--0-7-T00:00:00.000Z,anonymous,646,50
2003--0-7-T00:00:00.000Z,user,4550,1041
2003--0-7-T00:00:00.000Z,group-bot,,
2003--0-7-T00:00:00.000Z,name-bot,40,
2003--0-8-T00:00:00.000Z,anonymous,923,30
2003--0-8-T00:00:00.000Z,user,3063,471
2003--0-8-T00:00:00.000Z,group-bot,,
2003--0-8-T00:00:00.000Z,name-bot,,
2003--0-9-T00:00:00.000Z,anonymous,927,50
2003--0-9-T00:00:00.000Z,user,3834,551
2003--0-9-T00:00:00.000Z,group-bot,,
2003--0-9-T00:00:00.000Z,name-bot,,
2003--1-0-T00:00:00.000Z,anonymous,2658,42
2003--1-0-T00:00:00.000Z,user,3653,579
2003--1-0-T00:00:00.000Z,group-bot,,
2003--1-0-T00:00:00.000Z,name-bot,,
2003--1-1-T00:00:00.000Z,anonymous,1687,114
2003--1-1-T00:00:00.000Z,user,7049,1293
2003--1-1-T00:00:00.000Z,group-bot,,
2003--1-1-T00:00:00.000Z,name-bot,,
2003--1-2-T00:00:00.000Z,anonymous,1257,111
2003--1-2-T00:00:00.000Z,user,8907,1708
2003--1-2-T00:00:00.000Z,group-bot,,10
2003--1-2-T00:00:00.000Z,name-bot,893,8
2004--0-1-T00:00:00.000Z,anonymous,1523,69
2004--0-1-T00:00:00.000Z,user,10212,1550
2004--0-1-T00:00:00.000Z,group-bot,,3
2004--0-1-T00:00:00.000Z,name-bot,3465,3
2004--0-2-T00:00:00.000Z,anonymous,1814,118
2004--0-2-T00:00:00.000Z,user,10878,1673
2004--0-2-T00:00:00.000Z,group-bot,,
2004--0-2-T00:00:00.000Z,name-bot,7201,17
2004--0-3-T00:00:00.000Z,anonymous,3749,164
2004--0-3-T00:00:00.000Z,user,13385,2487
2004--0-3-T00:00:00.000Z,group-bot,,
2004--0-3-T00:00:00.000Z,name-bot,8395,9
2004--0-4-T00:00:00.000Z,anonymous,2973,160
2004--0-4-T00:00:00.000Z,user,12044,2594
2004--0-4-T00:00:00.000Z,group-bot,,
2004--0-4-T00:00:00.000Z,name-bot,6380,8
2004--0-5-T00:00:00.000Z,anonymous,2765,206
2004--0-5-T00:00:00.000Z,user,12737,3190
2004--0-5-T00:00:00.000Z,group-bot,,25
2004--0-5-T00:00:00.000Z,name-bot,1196,1
2004--0-6-T00:00:00.000Z,anonymous,7746,425
2004--0-6-T00:00:00.000Z,user,17603,4891
2004--0-6-T00:00:00.000Z,group-bot,,20
2004--0-6-T00:00:00.000Z,name-bot,13483,258
2004--0-7-T00:00:00.000Z,anonymous,3158,259
2004--0-7-T00:00:00.000Z,user,18874,4466
2004--0-7-T00:00:00.000Z,group-bot,,
2004--0-7-T00:00:00.000Z,name-bot,1872,1
2004--0-8-T00:00:00.000Z,anonymous,3403,292
2004--0-8-T00:00:00.000Z,user,17446,3328
2004--0-8-T00:00:00.000Z,group-bot,,
2004--0-8-T00:00:00.000Z,name-bot,630,1
2004--0-9-T00:00:00.000Z,anonymous,6475,850
2004--0-9-T00:00:00.000Z,user,23236,6644
2004--0-9-T00:00:00.000Z,group-bot,,
2004--0-9-T00:00:00.000Z,name-bot,7726,308
2004--1-0-T00:00:00.000Z,anonymous,6373,632
2004--1-0-T00:00:00.000Z,user,26626,5906
