month,nowe_rejestracje,aktywni_edytorzy,wszystkie_edycje_ludzi
2001-09-01,,1,12.0
2001-10-01,,3,123.0
2001-11-01,1.0,7,428.0
2001-12-01,,9,225.0
2002-01-01,,11,590.0
2002-02-01,,11,590.0
2002-03-01,,12,818.0
2002-04-01,,14,754.0
2002-05-01,,9,1149.0
2002-06-01,,12,962.0
2002-07-01,1.0,15,2018.0
2002-08-01,1.0,18,1696.0
2002-09-01,2.0,22,3406.0
2002-10-01,1.0,25,2720.0
2002-11-01,2.0,32,10147.0
2002-12-01,,33,4230.0
2003-01-01,,33,5090.0
2003-02-01,,32,6231.0
2003-03-01,,44,9714.0
2003-04-01,,45,7100.0
2003-05-01,,55,5815.0
2003-06-01,,49,5647.0
2003-07-01,,52,6287.0
2003-08-01,,50,4487.0
2003-09-01,,53,5362.0
2003-10-01,1.0,50,6932.0
2003-11-01,,64,10143.0
2003-12-01,,79,11983.0
2004-01-01,,91,13354.0
2004-02-01,,117,14483.0
2004-03-01,,133,19785.0
2004-04-01,,131,17771.0
2004-05-01,,153,18898.0
2004-06-01,,187,30665.0
2004-07-01,,175,26757.0
2004-08-01,,188,24469.0
2004-09-01,,265,37205.0
2004-10-01,,288,39537.0
2004-11-01,,312,47563.0
2004-12-01,,311,44928.0
2005-01-01,,428,57682.0
2005-02-01,,411,55216.0
2005-03-01,,403,57563.0
2005-04-01,1.0,525,74388.0
2005-05-01,,559,89317.0
2005-06-01,,698,105369.0
2005-07-01,1.0,635,78580.0
2005-08-01,,714,82420.0
2005-09-01,1199.0,697,87095.0
2005-10-01,1784.0,705,91075.0
2005-11-01,2158.0,685,87689.0
2005-12-01,2966.0,892,126464.0
2006-01-01,4014.0,1161,167248.0
2006-02-01,4940.0,1208,157182.0
2006-03-01,6468.0,1363,181043.0
2006-04-01,5123.0,1286,161827.0
2006-05-01,6209.0,1493,181687.0
2006-06-01,4648.0,1490,192093.0
2006-07-01,3392.0,1522,200281.0
2006-08-01,3570.0,1603,237199.0
2006-09-01,5060.0,1635,223125.0
2006-10-01,6401.0,1612,211753.0
2006-11-01,6861.0,1763,236193.0
2006-12-01,5712.0,1956,247807.0
2007-01-01,7099.0,2251,275396.0
2007-02-01,6312.0,2154,277958.0
2007-03-01,5844.0,2046,284432.0
2007-04-01,6411.0,2120,280917.0
2007-05-01,7665.0,2416,309855.0
2007-06-01,5452.0,2304,311663.0
2007-07-01,4428.0,2220,299224.0
2007-08-01,4407.0,2246,289155.0
2007-09-01,5803.0,2177,276404.0
2007-10-01,6571.0,2068,258374.0
2007-11-01,6181.0,2111,257087.0
2007-12-01,5520.0,2113,249686.0
2008-01-01,7144.0,2264,257656.0
2008-02-01,6633.0,2285,252713.0
2008-03-01,6532.0,2305,276734.0
2008-04-01,6401.0,2215,249296.0
2008-05-01,6282.0,2373,267531.0
2008-06-01,4982.0,2390,253584.0
2008-07-01,3965.0,2275,249308.0
2008-08-01,3597.0,2296,252706.0
2008-09-01,4572.0,2133,251484.0
2008-10-01,4724.0,2075,257589.0
2008-11-01,5138.0,2209,248121.0
2008-12-01,4333.0,2180,243734.0
2009-01-01,5942.0,2566,284562.0
2009-02-01,4843.0,2289,261150.0
2009-03-01,5372.0,2272,262454.0
2009-04-01,4387.0,2123,242211.0
2009-05-01,4774.0,2194,243570.0
2009-06-01,3975.0,2209,236228.0
2009-07-01,3479.0,2208,245073.0
2009-08-01,3548.0,2221,244823.0
2009-09-01,4319.0,2123,230240.0
2009-10-01,5282.0,2062,238843.0
2009-11-01,5259.0,2118,245733.0
2009-12-01,4361.0,2058,238458.0
2010-01-01,5598.0,2243,258987.0
